Bloc,Rubrique,Nom du champ,Type,Longueur,Obligatoire,Nomenclature,Description,Commentaire
S10.G00.00 - ,S10.G00.00.001,Nom du logiciel utilisé,Alphanumeric,1-20,Oui,,"Logiciel utilisé pour établir les déclarations.
L'alimentation systématique de cette rubrique est obligatoire pour faciliter le dialogue avec les éditeurs et les émetteurs en cas d'anomalie détectée par les récepteurs.
Mettre 'Logiciel maison' dans le cas où l'émetteur utilise un logiciel de constitution de la DSN non acheté mais développé en interne.",Envoi.NomLogiciel
S10.G00.00 - ,S10.G00.00.002,Nom de l'éditeur,Alphanumeric,1-20,Oui,,"Nom de l'éditeur du logiciel de paie utilisé.
Mettre 'Logiciel maison' dans le cas où l'émetteur utilise un logiciel de constitution de la DSN non acheté mais développé en interne.",Envoi.EditeurLogiciel
S10.G00.00 - ,S10.G00.00.003,Numéro de version du logiciel utilisé,Alphanumeric,1-10,Conditionnel,,"Numéro de la version du logiciel de paie utilisé, s'il existe.",Envoi.VersionLogiciel
S10.G00.00 - ,S10.G00.00.004,Code de conformité en pré-contrôle,Alphanumeric,1-50,Conditionnel,,Sera précisé suite à finalisation de l’outil de validation de messages proposé aux éditeurs et déclarants.,Envoi.CodeConformite
S10.G00.00 - ,S10.G00.00.005,Code envoi du fichier d'essai ou réel,Enumeration,2-2,Oui,N4DS_Essai,Les fichiers d'essai sont recommandés lors des premiers échanges avec un des services DSN proposés.,Envoi.EssaiReel
S10.G00.00 - ,S10.G00.00.006,Numéro de version de la norme utilisée,Enumeration,6-6,Oui,DSN_Version,,Envoi.VersionNorme
S10.G00.00 - ,S10.G00.00.007,Point de dépôt,Enumeration,2-2,Oui,Point_Depot,,Envoi.Depot
S10.G00.00 - ,S10.G00.00.008,Type de l'envoi,Enumeration,2-2,Oui,DSN_Envoi_Type,"Cette rubrique permet de définir s'il s'agit d'un envoi normal, ou d'un envoi contenant uniquement des déclarations mensuelles ""sans individu"".",Envoi.Type
S10.G00.01 - Emetteur,S10.G00.01.001,Siren de l'émetteur de l'envoi,Alphanumeric,9-9,Oui,,"Identifiant de l'entreprise ayant élaboré le présent envoi.
Dans le cas d'un tiers déclarant ou d'un concentrateur, c'est l'identifiant SIREN de ce tiers qui doit figurer ici.
Attention : cette mention n'est pas exploitée vis-à-vis de l'autorisation de déposer une DSN ; pour ce dépôt il convient que l'acteur déposant la DSN sur le site de net entreprises (http://www.net-entreprises.fr/) ou de la MSA (http://www.msa.fr) soit inscrit comme administrateur sur le site et ait validé la charte
Pour les réceptions de DSN en machine to machine une enveloppe gérant sera à associer au message et ne figure pas à ce stade dans le cahier technique.",Emetteur.Siren
S10.G00.01 - Emetteur,S10.G00.01.002,Nic de l'émetteur de l'envoi,Alphanumeric,5-5,Oui,,"Identifiant établissement (Numéro Interne de Classement).
Un identifiant à zéro n'est pas admis.",Emetteur.Nic
S10.G00.01 - Emetteur,S10.G00.01.003,Nom ou raison sociale de l'émetteur,Alphanumeric,1-60,Oui,,,Emetteur.Nom
S10.G00.01 - Emetteur,S10.G00.01.004,"Numéro, extension, nature et libellé de la voie",Alphanumeric,1-50,Conditionnel,,"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)
Libellé de la voie : Appellation officielle de la voie",Emetteur.Voie
