Nomenclature,Code,Libellé,Commentaire
Taux_Prelevement_Source,1,Taux transmis par la DGFIP,
Taux_Prelevement_Source,13,Barème mensuel métropole,
Taux_Prelevement_Source,17,Barème mathématique sur base mensuelle métropole,
Taux_Prelevement_Source,23,"Barème mensuel Guadeloupe, Réunion et Martinique",
Taux_Prelevement_Source,27,"Barème mathématique sur base mensuelle Guadeloupe, Réunion et Martinique",
Taux_Prelevement_Source,33,Barème mensuel Guyane et Mayotte,
Taux_Prelevement_Source,37,Barème mathématique sur base mensuelle Guyane et Mayotte,
Taux_Prelevement_Source,99,Indu relatif à un exercice antérieur – pas de taux de PAS,
N4DS_Essai,1,envoi fichier test,
N4DS_Essai,2,envoi fichier réel,
DSN_Unite_Mesure,10,heure,
DSN_Unite_Mesure,12,journée,
DSN_Unite_Mesure,20,forfait jour,
DSN_Unite_Mesure,21,forfait heure,
DSN_Unite_Mesure,31,à la pige,
DSN_Unite_Mesure,32,à la vacation,
DSN_Unite_Mesure,33,à la tâche,
DSN_Unite_Mesure,35,heures intermittents du spectacle,
DSN_Unite_Mesure,36,cachets groupés,
DSN_Unite_Mesure,37,cachets isolés,
DSN_Unite_Mesure,38,jour CRPNPAC,
DSN_Unite_Mesure,39,cachet,
DSN_Unite_Mesure,40,jours calendaires de la période d’emploi pris en compte dans le calcul du plafond de Sécurité Sociale,
ROB_Extension,1,régime local Alsace Moselle,
ROB_Extension,2,complémentaire CAMIEG,
ROB_Extension,3,régime Alsace-Moselle et Complémentaire CAMIEG,
ROB_Extension,99,non applicable,
DSN_Qualifiant_Assiette,920,Autre assiette,
DSN_Qualifiant_Assiette,921,Assiette plafonnée,
Civilite,1,monsieur,
Civilite,2,madame,
DSN_Dispos_PubEmpFormPro_2,21,CUI - Contrat Initiative Emploi,
DSN_Dispos_PubEmpFormPro_2,41,Parcours Emploi Compétences / CUI - CAE,
DSN_Dispos_PubEmpFormPro_2,42,CUI - Contrat d'accès à l'emploi - DOM,
DSN_Dispos_PubEmpFormPro_2,61,Contrat de Professionnalisation,
DSN_Dispos_PubEmpFormPro_2,64,Contrat d'apprentissage entreprises artisanales ou de moins de 11 salariés (loi du 3 janvier 1979),
DSN_Dispos_PubEmpFormPro_2,65,Contrat d’apprentissage entreprises non inscrites au répertoire des métiers d’au moins 11 salariés (loi de 1987),
DSN_Dispos_PubEmpFormPro_2,66,Convention industrielle de formation par la recherche en entreprise (CIFRE),
DSN_Dispos_PubEmpFormPro_2,70,Contrat à durée déterminée pour les séniors,
DSN_Dispos_PubEmpFormPro_2,71,Contrat à durée déterminée d’insertion,
DSN_Dispos_PubEmpFormPro_2,80,Contrat de génération,
DSN_Dispos_PubEmpFormPro_2,81,Contrat d'apprentissage secteur public (Loi de 1992),
DSN_Dispos_PubEmpFormPro_2,92,Stage de la formation professionnelle,
DSN_Dispos_PubEmpFormPro_2,93,Période de mise en situation en milieu professionnel,
DSN_Dispos_PubEmpFormPro_2,94,Contrat adulte relais,
DSN_Dispos_PubEmpFormPro_2,99,Non concerné,
Prime_DSN_phase_1,1,Indemnité spécifique de rupture conventionnelle,
Prime_DSN_phase_1,2,Indemnité versée à l'occasion de la cessation forcée des fonctions des mandataires sociaux,
Prime_DSN_phase_1,3,Indemnité légale de mise à la retraite par l'employeur,
Prime_DSN_phase_1,4,Indemnité conventionnelle de mise à la retraite par l'employeur,
Prime_DSN_phase_1,5,Indemnité légale de départ à la retraite du salarié,
Prime_DSN_phase_1,6,Indemnité conventionnelle de départ à la retraite du salarié,
Prime_DSN_phase_1,7,Indemnité légale de licenciement,
Prime_DSN_phase_1,8,Indemnité légale supplémentaire de licenciement,
Prime_DSN_phase_1,9,Indemnité légale spéciale de licenciement,
