code;libellé;date de début de validité;date de fin de validité;20/02/2025
A03818007227;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
A05617004035;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
A06918013684;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
A07221003690;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
A07516016068;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2019;31/12/2021
A07518028901;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
A09217028194;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
A09318007836;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
A09318008405;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
A59L17011373;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2017;31/12/2021
A59L18012472;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
A59L18012499;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2021
B20190203002;ACCORD EN FAVEUR DE L'EMPLOI ET L'EGALITE DES CHANCES DES PERSONNES EN SITUATION DE HANDICAP AU SEIN DE LA BRANCHE BANQUE POPULAIRE;01/01/2020;31/12/2022
B20191002001;ACCORD EN FAVEUR DE L'EMPLOI ET L'EGALITE DES CHANCES DES PERSONNES EN SITUATION DE HANDICAP AU SEIN DE LA BRANCHE CAISSE D'EPARGNE;01/01/2020;31/12/2022
B20191003002;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
B20191121003;ACCORD COLLECTIF DU 21 NOVEMBRE 2019 EN FAVEUR DE L'EMPLOI DES PERSONNES EN SITUATION DE HANDICAP, CONVENTION COLLECTIVE DE L'INDUSTRIE PHARMACEUTIQUE [LES ENTREPRISES DU MEDICAMENT (LEEM)];01/01/2020;31/12/2022
B20191122004;ACCORD DU CREDIT AGRICOLE;01/01/2020;31/12/2022
B20191219005;OETH : FEHAP, Croix Rouge SNASEA, SOP;01/01/2020;31/12/2022
B2023R002001;ACCORD AGREE EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
B2023R002002;ACCORD AGREE EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
B2023R002003;ACCORD AGREE EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
B2023R002004;ACCORD AGREE EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
B2023R002005;ACCORD AGREE EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
D00000000001;RECTIFICATION DE DECLARATION D'ACCORD AGREEE ERRONEE;01/01/2018;31/12/2030
D00000000009;ACCORD AGREE NON PRESENT DANS LA TABLE;01/01/2018;31/12/2030
T00121003234;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T00121003235;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T00124060626;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2024;31/12/2026
T00619002871;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T00620003491;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T00621004601;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T00621005193;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T00621005662;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T00622007391;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T00623008419;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T00623008483;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T00623008590;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01019000670;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2019;31/12/2021
T01022001951;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T01022001952;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T01319004701;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T01320007189;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T01320008884;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T01321010470;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T01322014550;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T01322014728;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T01323017808;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01323018177;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01323018453;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01324062024;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2024;31/12/2026
T01420002833;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T01421004236;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T01423007201;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01622002916;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01623002946;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T01721002646;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T01722003639;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T02220001929;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T02220002808;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T02220002885;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T02820001798;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T02824060381;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2024;31/12/2026
T02918000539;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2018;31/12/2022
T02922007753;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T03024060410;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2024;31/12/2026
T03118001468;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2019;31/12/2021
T03119004734;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T03120007468;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2020;31/12/2022
T03121008931;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2021;31/12/2023
T03122010651;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T03122011313;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2022;31/12/2024
T03123013909;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T03123013959;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2023;31/12/2025
T03124061409;ACCORD EN FAVEUR DE L'EMPLOI DES TRAVAILLEURS HANDICAPES;01/01/2024;31/12/2026
