code;libellé;date de début de validité;date de fin de validité;20/02/2025
A10101;ASSUREUR TEST 1 POUR LES EDITEURS;01/01/2000;
A10102;ASSUREUR TEST 2 POUR LES EDITEURS;01/01/2000;
A10103;ASSUREUR TEST 3 POUR LES EDITEURS;01/01/2000;
A4M001;QUATREM;01/01/2000;
A4MSP2;QUATREM SANTE PREVOYANCE;01/07/2022;
AALAN1;ALAN;01/01/2000;
ABCAC1;BCAC;01/01/2000;
ABCAC9;BCAC (B2V GESTION);01/01/2000;
ABEIL1;ABEILLE IARD & SANTE;01/02/2022;
ABEIL2;ABEILLE VIE;01/02/2022;
ABEIL3;ABEILLE RETRAITE PROFESSIONNELLE;01/02/2022;
ABPCE1;BPCE VIE;01/01/2000;
ACARD1;CARDIF;01/01/2000;
ACART7;CREDIT AGRICOLE RETRAITE;01/11/2022;
ACHUB1;CHUBB (ACE EUROPEAN GROUP);01/01/2000;
ACMAV1;COMPAGNIE MUTUELLE D'ASSURANCE VIE;01/01/2000;
ACNPA1;CNP ASSURANCES;01/01/2000;
ACRMU1;ASSURANCES DU CREDIT MUTUEL IARD SA;01/01/2000;
ACRMU2;ASSURANCES DU CREDIT MUTUEL VIE SA;01/01/2000;
ACRMU3;ASSURANCES CREDIT MUTUEL NORD VIE;01/01/2000;
ACRMU4;ASSURANCES CREDIT MUTUEL NORD IARD;01/01/2000;
ACRMU5;ASSURANCES CREDIT MUTUEL VIE MUTUELLE;01/01/2000;
ACTEV1;ACTE VIE;01/01/2000;
AEMOA1;EMOA MUTUELLE DU VAR;01/12/2023;
AFIDE1;FIDELIDADE ASSURANCES;01/01/2000;
AGARA7;GARANCE RETRAITE;01/10/2024;
AGEN01;GENERALI;01/01/2000;
AGENR7;GENERALI RETRAITE;01/07/2023;
AGFAC1;GFA CARAIBES;01/01/2000;
AGGAAV;GAN ASSURANCE VIE;01/01/2000;
AGGEEV;GAN EUROCOURTAGE VIE;01/01/2000;
AGGRAM;GROUPAMA MEDITERRANNEE;01/01/2000;
AGGRCA;GROUPAMA CENTRE-ATLANTIQUE;01/01/2000;
AGGRCM;GROUPAMA CENTRE-MANCHE;01/01/2000;
AGGRGE;GROUPAMA GRAND-EST;01/01/2000;
AGGRLB;GROUPAMA LOIRE-BRETAGNE;01/01/2000;
AGGRNE;GROUPAMA NORD-EST;01/01/2000;
AGGROC;GROUPAMA D'OC;01/01/2000;
AGGROI;GROUPAMA OCEAN INDIEN;01/01/2000;
AGGRPL;GROUPAMA PARIS VAL DE LOIRE;01/01/2000;
