code;libellé;date de début de validité;date de fin de validité;25/09/2024
A;[BTP Martinique ou Guyane Employé niv. A] ou [BTP Guadeloupe ETAM niv. A] ou [BTP La Réunion Ingénieur ou assimilé débutant pos. A coef. 60 à 85] ou [Bâtiment Métropole Ingénieur ou assimilé débutant pos. A];01/01/2000;
A1;[Travaux Publics Métropole Cadre niv. A pos. 1];01/01/2000;
A2;[Travaux Publics Métropole Cadre niv. A pos. 2];01/01/2000;
AUT;[Autre classification];01/01/2000;
B;[BTP Martinique ou Guyane Employé niv. B] ou [BTP Guadeloupe ETAM niv. B] ou [Travaux Publics Métropole Cadre niv. B];01/01/2000;
B1;[Travaux Publics Métropole Cadre niv. B pos. 1];01/01/2000;
B11;[BTP La Réunion Ingénieur ou assimilé pos. B 1er éch. cat. 1 coef. 90 et 95] ou [Bâtiment Métropole Ingénieur ou assimilé pos. B - 1er éch. cat. 1];01/01/2000;
B12;[BTP La Réunion Ingénieur ou assimilé pos. B 1er éch. cat. 2 coef. 100 et 103] ou [Bâtiment Métropole Ingénieur ou assimilé pos. B - 1er éch. cat. 2];01/01/2000;
B2;[Travaux Publics Métropole Cadre niv. B pos. 2];01/01/2000;
B21;[BTP La Réunion Ingénieur ou assimilé pos. B 2ème éch. cat. 1 coef. 108] ou [Bâtiment Métropole Ingénieur ou assimilé pos. B - 2ème éch. cat. 1];01/01/2000;
B22;[BTP La Réunion Ingénieur ou assimilé pos. B 2ème éch. cat. 2 coef. 120] ou [Bâtiment Métropole Ingénieur ou assimilé pos. B - 2ème éch. cat. 2];01/01/2000;
B3;[Travaux Publics Métropole Cadre niv. B pos. 3];01/01/2000;
B4;[Travaux Publics Métropole Cadre niv. B pos. 4];01/01/2000;
C;[BTP Martinique ou Guyane Employé niv. C] ou [BTP Guadeloupe ETAM niv. C];01/01/2000;
C1;[BTP La Réunion Cadre pos. C 1er éch. coef. 130] ou [Bâtiment Métropole Cadre pos. C - 1er éch.] ou [Travaux Publics Métropole Cadre niv. C pos. 1];01/01/2000;
C2;[BTP La Réunion Cadre pos. C 2ème éch. coef. 162] ou [Bâtiment Métropole Cadre pos. C - 2ème éch.] ou [Travaux Publics Métropole Cadre niv. C pos. 2];01/01/2000;
CE1;[BTP Guadeloupe Chef d'équipe pos. 1] ou [Bâtiment Métropole Chef d'équipe niv. IV pos. 1 coef 250] ou [BTP Martinique Chef d'équipe éch. 1] ou [BTP La Réunion Chef d'équipe niv. III pos. 1 coef. 137];01/01/2000;
