code;libellé;date de début de validité;date de fin de validité;25/09/2024
A0000;[BATIMENT] Agenceur;01/01/2000;
A0005;[BATIMENT] Carreleur;01/01/2000;
A0010;[BATIMENT] Charpentier bois;01/01/2000;
A0015;[BATIMENT] Charpentier métallique;01/01/2000;
A0020;[BATIMENT] Conducteur de grue;01/01/2000;
A0025;[BATIMENT] Conducteur d'engins;01/01/2000;
A0030;[BATIMENT] Constructeur de sols industriels;01/01/2000;
A0035;[BATIMENT] Couvreur;01/01/2000;
A0040;[BATIMENT] Dépanneur équipements techniques;01/01/2000;
A0045;[BATIMENT] Électricien;01/01/2000;
A0050;[BATIMENT] Enduiseur façadier;01/01/2000;
A0055;[BATIMENT] Étancheur;01/01/2000;
A0060;[BATIMENT] Frigoriste;01/01/2000;
A0065;[BATIMENT] Installateur chauffage, climatisation, ventilation;01/01/2000;
A0070;[BATIMENT] Installateur sanitaire;01/01/2000;
A0075;[BATIMENT] Maçon bancheur;01/01/2000;
A0080;[BATIMENT] Maçon briqueteur;01/01/2000;
A0085;[BATIMENT] Maçon coffreur;01/01/2000;
A0090;[BATIMENT] Maçon autre;01/01/2000;
A0095;[BATIMENT] Menuisier fabriquant;01/01/2000;
A0100;[BATIMENT] Menuisier poseur;01/01/2000;
A0105;[BATIMENT] Menuisier autre;01/01/2000;
A0110;[BATIMENT] Métallier;01/01/2000;
A0115;[BATIMENT] Monteur d'échafaudage;01/01/2000;
A0120;[BATIMENT] Monteur en isolation thermique industrielle;01/01/2000;
A0125;[BATIMENT] Monteur levageur;01/01/2000;
A0130;[BATIMENT] Monteur poseur techniverrier;01/01/2000;
A0135;[BATIMENT] Peintre décorateur;01/01/2000;
A0140;[BATIMENT] Peintre ravaleur;01/01/2000;
A0145;[BATIMENT] Peintre autre;01/01/2000;
A0150;[BATIMENT] Plâtrier plaquiste;01/01/2000;
A0155;[BATIMENT] Plâtrier staffeur;01/01/2000;
A0160;[BATIMENT] Préparateur en démolition;01/01/2000;
A0165;[BATIMENT] Ramoneur - fumiste;01/01/2000;
A0170;[BATIMENT] Serrurier;01/01/2000;
A0175;[BATIMENT] Solier moquettiste;01/01/2000;
A0180;[BATIMENT] Storiste;01/01/2000;
A0185;[BATIMENT] Tailleur de pierre;01/01/2000;
A0190;[BATIMENT] Conducteur de véhicules;01/01/2000;
A0099;[BATIMENT] Ouvrier (métier ne figurant pas dans la table);01/01/2000;
B0000;[BATIMENT] Agent de gardiennage;01/01/2000;
B0005;[BATIMENT] Agent de nettoyage;01/01/2000;
B0010;[BATIMENT] Aide comptable;01/01/2000;
B0015;[BATIMENT] Comptable;01/01/2000;
B0020;[BATIMENT] Secrétaire;01/01/2000;
B0025;[BATIMENT] Secrétaire de direction;01/01/2000;
B0099;[BATIMENT] Employé (métier ne figurant pas dans la table);01/01/2000;
C0000;[BATIMENT] Acheteur;01/01/2000;
C0005;[BATIMENT] Aide conducteur de travaux;01/01/2000;
C0010;[BATIMENT] Assistant chef de chantier;01/01/2000;
C0015;[BATIMENT] Chef d'atelier;01/01/2000;
C0020;[BATIMENT] Chef de chantier;01/01/2000;
C0025;[BATIMENT] Commis;01/01/2000;
C0030;[BATIMENT] Conducteur de travaux;01/01/2000;
C0035;[BATIMENT] Dessinateur;01/01/2000;
C0040;[BATIMENT] Magasinier;01/01/2000;
C0045;[BATIMENT] Métreur;01/01/2000;
C0050;[BATIMENT] Projeteur;01/01/2000;
C0055;[BATIMENT] Technicien commercial;01/01/2000;
C0060;[BATIMENT] Technicien de chantier;01/01/2000;
C0065;[BATIMENT] Technicien de maintenance;01/01/2000;
C0070;[BATIMENT] Technicien de méthodes;01/01/2000;
C0075;[BATIMENT] Technicien d'études;01/01/2000;
C0099;[BATIMENT] Technicien (métier ne figurant pas dans la table);01/01/2000;
C0999;[BATIMENT] Agent de maîtrise (métier ne figurant pas dans la table);01/01/2000;
D0000;[BATIMENT] Acheteur;01/01/2000;
D0005;[BATIMENT] Chargé d'affaires;01/01/2000;
D0010;[BATIMENT] Conducteur de travaux;01/01/2000;
D0015;[BATIMENT] Dessinateur projeteur;01/01/2000;
D0020;[BATIMENT] Directeur commercial;01/01/2000;
D0025;[BATIMENT] Directeur d'agence;01/01/2000;
D0030;[BATIMENT] Directeur régional;01/01/2000;
D0035;[BATIMENT] Gérant;01/01/2000;
D0040;[BATIMENT] Ingénieur commercial;01/01/2000;
D0045;[BATIMENT] Ingénieur des méthodes;01/01/2000;
D0050;[BATIMENT] Ingénieur d'étude de prix;01/01/2000;
D0055;[BATIMENT] Ingénieur d'études techniques;01/01/2000;
D0099;[BATIMENT] Ingénieur (métier ne figurant pas dans la table);01/01/2000;
D0999;[BATIMENT] Cadre (métier ne figurant pas dans la table);01/01/2000;
OUVRD;[TP] Ouvrier VRD (voirie et réseaux divers);01/01/2000;
CONPL;[TP] Conducteur poids lourd;01/01/2000;
CONEG;[TP] Conducteur d'engins (tractopelle, manipelle, etc.);01/01/2000;
GRUTI;[TP] Grutier (à tour et grue mobile);01/01/2000;
GEOTP;[TP] Géomètre - topographe;01/01/2000;
MECAN;[TP] Mécanicien (chantier ou d'entretien);01/01/2000;
SOUDE;[TP] Soudeur;01/01/2000;
COROU;[TP] Constructeur de routes (chaussées en enrobés [finisseur], chaussées à base d'émulsion [répandeuse], chaussées à base de béton [slip-form]);01/01/2000;
ENGRO;[TP] Conducteur d'engins (de travaux routiers : slip-form, finisseur, répandeuse, etc.);01/01/2000;
OPCEN;[TP] Opérateur de centrale (béton, enrobage, émulsion, etc.);01/01/2000;
TERRA;[TP] Terrassier;01/01/2000;
MINEU;[TP] Mineur;01/01/2000;
CONOA;[TP] Constructeur d'ouvrages d'art béton armé (maçon-coffreur, coffreur-bancheur, maçon-finisseur, maçon-ferrailleur, etc.);01/01/2000;
CONOM;[TP] Constructeur d'ouvrages d'art métalliques;01/01/2000;
MENER;[TP] Monteur en réseaux d'énergie (aériens, souterrains, éclairage public , etc.);01/01/2000;
MOCOM;[TP] Monteur en réseaux de communication;01/01/2000;
CANAL;[TP] Canalisateur (assainissement, eau potable, gaz);01/01/2000;
POVOI;[TP] Poseur de voies;01/01/2000;
TPAUT;[TP] Autres métiers ouvriers n'entrant pas dans les rubriques précédentes : sondeur, sondeur-foreur, scaphandrier, conducteur d'engins spéciaux (fondations, battage, dragage, etc.), cordistes, etc.;01/01/2000;
TECHN;[TP] Technicien;01/01/2000;
CCHAN;[TP] Chef de chantier;01/01/2000;
CONTR;[TP] Conducteur de travaux;01/01/2000;
ADMIN;[TP] Administratif;01/01/2000;
COMME;[TP] Commercial;01/01/2000;
INGTP;[TP] Ingénieur des TP;01/01/2000;
