code;libellé;date de début de validité;date de fin de validité;25/09/2024
01;BTP - Caisse Nationale des Entrepreneurs de TP;01/01/1900;
02;BTP - CIBTP Caisse de l'Ile-de-France;01/01/1900;
04;BTP - CIBTP Caisse du Nord-Ouest;01/01/1900;
07;BTP - CIBTP Caisse du Grand Est;01/01/1900;
12;BTP - CIBTP Caisse de Rhône-Alpes Auvergne;01/01/1900;
15;BTP - CIBTP Caisse de la Région Méditerranée;01/01/1900;
18;BTP - CIBTP Caisse de la Région du Centre;01/01/1900;
20;BTP - CIBTP Caisse du Sud-Ouest;01/01/1900;
22;BTP - CIBTP Caisse du Grand Ouest (Antenne Nantes);01/01/1900;
23;BTP - CIBTP Caisse du Centre Ouest;01/01/1900;
24;BTP - CIBTP Caisse du Grand Ouest (Antenne Rennes);01/01/1900;
27;BTP - Caisse Nationale des Coopératives;01/01/1900;
34;BTP - Congés BTP Caisse de la Réunion;01/01/1900;
35;BTP - Congés BTP Caisse des Antilles et de la Guyane françaises (Martinique);01/01/1900;
36;BTP - Congés BTP Caisse des Antilles et de la Guyane françaises (Guadeloupe);01/01/1900;
37;BTP - Congés BTP Caisse des Antilles et de la Guyane françaises (Guyane);01/01/1900;
81;Transport - Caisse Interprofessionnelle des Congés Payés de la Région Méditerranéenne;01/01/1900;
82;Transport - Caisse interprofessionnelle des congés payés de la Région Rhodanienne;01/01/1900;
83;Transport - Caisse Interprofessionnelle des Congés Payés de la Région Parisienne;01/01/1900;
A1;Manutention Portuaire - LE HAVRE;01/01/1900;
A2;Manutention Portuaire - MARSEILLE;01/01/1900;
A3;Manutention Portuaire - DUNKERQUE;01/01/1900;
A4;Manutention Portuaire - ROUEN;01/01/1900;
A5;Manutention Portuaire - NANTES - SAINT NAZAIRE;01/01/1900;
A6;Manutention Portuaire - BORDEAUX;01/01/1900;
A7;Manutention Portuaire - LA ROCHELLE - PALLICE;01/01/1900;
B1;Manutention Portuaire - AJACCIO;01/01/1900;
B2;Manutention Portuaire - BASTIA;01/01/1900;
B3;Manutention Portuaire - BAYONNE;01/01/1900;
B4;Manutention Portuaire - BOULOGNE;01/01/1900;
B5;Manutention Portuaire - BREST;01/01/1900;
B6;Manutention Portuaire - CAEN;01/01/1900;
B7;Manutention Portuaire - CALAIS;01/01/1900;
B8;Manutention Portuaire - CHERBOURG;01/01/1900;
B9;Manutention Portuaire - FECAMP;01/01/1900;
B10;Manutention Portuaire - HONFLEUR;01/01/1900;
B11;Manutention Portuaire - LE TREPORT;01/01/1900;
B12;Manutention Portuaire - LORIENT;01/01/1900;
B13;Manutention Portuaire - NICE (SNCM);01/01/1900;
B14;Manutention Portuaire - PORT LA NOUVELLE;01/01/1900;
B15;Manutention Portuaire - PORT VENDRES;01/01/1900;
B16;Manutention Portuaire - ROCHEFORT;01/01/1900;
B17;Manutention Portuaire - ROSCOFF;01/01/1900;
B18;Manutention Portuaire - SAINT MALO;01/01/1900;
B19;Manutention Portuaire - SETE;01/01/1900;
B20;Manutention Portuaire - SABLES D'OLONNE;01/01/1900;
B21;Manutention Portuaire - SAINT-BRIEUC;01/01/1900;
B22;Manutention Portuaire - TOULON;01/01/1900;
97;Caisse de congés spectacles;01/01/1900;
99;Non concerné;01/01/1900;
