code;libellé;date de début de validité;date de fin de validité;20/02/2025
D10101;DELEGATAIRE TEST POUR LES EDITEURS;01/01/2000;
D10102;DELEGATAIRE TEST POUR LES EDITEURS;01/01/2000;
D10103;DELEGATAIRE TEST POUR LES EDITEURS;01/01/2000;
DAFER1;GIE AFER;01/01/2000;
DAGGE1;AGGEMA;01/01/2000;
DAIAC1;AIAC;01/01/2000;
DAISV1;ACCENTURE INSURANCE SERVICES;01/01/2000;
DALPT1;ALPTIS ASSURANCES;01/01/2000;
DAON01;AON;01/01/2000;
DAPIC1;APIC GESTION;01/01/2000;
DAPRC1;APRIL ENTREPRISE CARAÏBES;01/01/2000;
DAPRP1;APRIL SANTE PREVOYANCE;01/01/2000;
DAREA1;AREA - ASSURANCE ET REASSURANCE CONSEIL;01/01/2000;
DASCO1;ASCORE;01/01/2000;
DBALO1;BALOO;01/01/2000;
DBENE1;BENEFIZ;01/01/2023;
DBESS1;BPSA - BSR;01/01/2000;
DBPOV1;BPO-VIE;01/01/2000;
DCERA1;CERAP;01/01/2000;
DCERG1;CERGAP;01/01/2000;
DCET01;CETIM;01/01/2000;
DCGEM1;CEGEMA;01/01/2000;
DCGRM1;CGRM;01/01/2000;
DCIPR1;CIPRES ASSURANCES;01/01/2000;
DCOGE1;COGEVIE;01/01/2000;
DCOLP2;COLONNA PARTNERS;01/09/2022;
DCOLT1;COLLECTEAM;01/01/2000;
DCOUR1;BPSA - COURCELLES PREVOYANCE;01/01/2000;
DCPMS1;CPMS;01/01/2000;
DECAS1;ECA - ENTREPRISES;01/01/2000;
DEXPR1;EXPER - EXPERTISE POUR LA PREVOYANCE ET LA RETRAITE;01/01/2000;
DFFAG1;FFA GESTION;01/01/2000;
DFIL01;FILHET ALLARD ET CIE;01/01/2000;
DFINA1;FINAXY BANCASSURANCE;01/01/2000;
DGEAG1;GESTASSUR APCI GESTION;01/01/2000;
DGEN01;GENERATION;01/01/2000;
DGENA1;GENASSUR;01/01/2000;
DGER01;GEREP - GROUPE EUROPEEN RETRAITE PREVOYANCE;01/01/2000;
DGEST1;GESTINEO;01/01/2000;
DGMC01;HENNER;01/01/2000;
DGPAC1;WILLIS TOWERS WATSON (ex-GRAS SAVOYE);01/01/2000;
