code;libellé;date de début de validité;date de fin de validité;20/02/2025
DAGGE1;AGGEMA;01/01/1900;
DALPP1;ALP PREVOYANCE;01/01/1900;
DALPT1;ALPTIS ASSURANCES;01/01/1900;
DAPRP1;APRIL SANTE PREVOYANCE;01/01/2024;
DASCO1;ASCORE;01/01/1900;
DCET01;CETIM;01/01/1900;
DCGRM1;CGRM;01/01/1900;
DCIPR1;CIPRES ASSURANCES;01/01/1900;
DCOGE1;COGEVIE;01/01/1900;
DCOLT1;COLLECTEAM;01/01/1900;
DCPMS1;CPMS;01/01/2025;
DETQ11;ETIQ;01/05/2024;
DFFAG1;FFA GESTION;01/01/2024;
DGEN01;GENERATION;01/01/2024;
DGER01;GEREP - GROUPE EUROPEEN RETRAITE PREVOYANCE;01/01/1900;
DGMC01;HENNER;01/01/1900;
DGPRS1;COLONNA FACILITY;01/01/1900;
DGRNA1;GIE GROUPE NATION;01/01/2024;
DGSPV1;SPVIE;01/01/2021;
DHEL01;HELIUM;01/01/1900;
DJPCL1;COLONNA BROKER;01/01/1900;
DLTEC1;Lucie tech;01/01/2020;
DMSA11;MSA GRAND SUD;01/01/1900;
DMSA12;MSA MIDI PYRENEES NORD;01/01/1900;
DMSA13;MSA PROVENCE-AZUR;01/01/1900;
DMSA14;MSA COTES NORMANDES;01/01/1900;
DMSA17;MSA CHARENTES;01/01/1900;
DMSA20;MSA DE LA CORSE;01/01/1900;
DMSA21;MSA DE BOURGOGNE;01/01/1900;
DMSA22;MSA ARMORIQUE;01/01/1900;
DMSA24;MSA DORDOGNE-LOT ET GARONNE;01/01/1900;
DMSA25;MSA FRANCHE COMTE;01/01/1900;
DMSA26;MSA ARDECHE-DROME-LOIRE;01/01/1900;
DMSA27;MSA HAUTE NORMANDIE;01/01/1900;
DMSA28;MSA BEAUCE-COEUR DE LOIRE;01/01/1900;
DMSA32;MSA MIDI PYRENEES SUD;01/01/1900;
DMSA33;MSA GIRONDE;01/01/1900;
DMSA35;MSA PORTES DE BRETAGNE;01/01/1900;
DMSA41;MSA BERRY-TOURAINE;01/01/1900;
DMSA48;MSA LANGUEDOC;01/01/1900;
DMSA49;MSA MAINE ET LOIRE;01/01/1900;
DMSA51;MSA MARNE-ARDENNES-MEUSE;01/01/1900;
DMSA52;MSA SUD CHAMPAGNE;01/01/1900;
DMSA54;MSA LORRAINE;01/01/1900;
DMSA59;MSA NORD-PAS DE CALAIS;01/01/1900;
DMSA63;MSA AUVERGNE;01/01/1900;
DMSA64;MSA SUD AQUITAINE;01/01/1900;
DMSA68;MSA ALSACE;01/01/1900;
DMSA69;MSA AIN-RHONE;01/01/1900;
DMSA72;MSA MAYENNE-ORNE-SARTHE;01/01/1900;
DMSA73;MSA ALPES DU NORD;01/01/1900;
DMSA75;MSA ILE DE FRANCE;01/01/1900;
DMSA77;MSA SAINT-BARTHELEMY;01/01/1900;
DMSA80;MSA PICARDIE;01/01/1900;
DMSA84;MSA ALPES-VAUCLUSE;01/01/1900;
DMSA85;MSA LOIRE ATLANTIQUE-VENDEE;01/01/1900;
DMSA86;MSA SEVRES-VIENNE;01/01/1900;
DMSA87;MSA LIMOUSIN;01/01/1900;
DOCSO1;OCSO;01/01/2024;
DPESE1;HOLDING PESENTI;01/01/1900;
DPSAN1;PLAN SANTE;01/01/1900;
DREVA1;PREVALOIS;01/01/1900;
DRFR01;BPSA - RESSOURCES FRANCE;01/01/1900;
DROE01;ROEDERER;01/01/2024;
DSGS01;SG SANTE;01/01/1900;
DSIM02;SIMAX;01/02/2024;
DVERS1;VERSPIEREN;01/01/1900;
DVIVE1;VIVENS;01/01/1900;
DZ2114;OPERATEUR TECHNIQUE DSN;01/01/1900;
DZEPH1;ZEPHIR;01/01/2024;
GMBAM1;MBA MUTUELLE;01/01/1900;
GMDFU1;MFU-Mutuelle de France Unie;01/01/1900;
GMPRE1;Mutuelle Prévifrance;01/01/1900;
GSAMR1;SAMIR;01/01/1900;
