code;libellé;date de début de validité;date de fin de validité;20/02/2025
DAERO1;MUTUELLE SOLIDARITE AERONAUTIQUE;08/11/2017;
DAGGE1;AGGEMA;22/12/2014;
DAGIP1;AGIP SANTE;01/01/2021;
DAIAC1;AIAC;22/12/2014;
DALPP1;ALP PREVOYANCE;22/12/2014;
DALPT1;ALPTIS ASSURANCES;22/12/2014;
DAON01;AON;22/12/2014;
DAPIC1;APIC GESTION;24/01/2017;
DAPRC1;APRIL ENTREPRISE CARAÏBES;22/12/2014;
DAPRE1;APRIL ENTREPRISE;06/03/2015;
DAPRL1;APRIL ENTREPRISE & COLLECTIVITES;06/03/2015;
DAPRP1;APRIL SANTE PREVOYANCE;03/02/2015;
DAREA1;AREA-ASSURANCE ET REASSURANCE CONSEIL;04/12/2018;
DASCO1;ASCORE;03/02/2015;
DAVIL1;AVILOG;25/08/2015;
DBALO1;BALOO;22/12/2014;
DBESS1;BPSA - BSR;26/05/2015;
DBPOV1;BPO-VIE;21/06/2018;
DCERA1;CERAP;22/12/2014;
DCERG1;CERGAP;01/04/2018;
DCET01;CETIM;22/12/2014;
DCGRM1;CGRM;22/12/2014;
DCIFE1;CIF ENTREPRISES;20/01/2016;
DCINT1;CIAP - CONSEIL INTERNATIONAL EN ASSURANCES DE PERSONNES;22/12/2014;
DCIPR1;CIPRES ASSURANCES;22/12/2014;
DCLAR1;DE CLARENS;03/02/2015;
DCOGE1;COGEVIE;22/12/2014;
DCOLT1;COLLECTEAM;22/12/2014;
DCOUR1;BPSA - COURCELLES PREVOYANCE;22/12/2014;
DCPMS1;CPMS;22/12/2014;
DDEL01;DELTA ASSURANCES;22/12/2014;
DEXPR1;EXPER - EXPERTISE POUR LA PREVOYANCE ET LA RETRAITE;27/04/2015;
DFIL01;FILHET ALLARD ET CIE;22/12/2014;
DGCRC1;GROUPE CRC COURTAGE;05/12/2014;
DGEAG1;GESTASSUR APCI GESTION;05/01/2018;
DGEFI1;GEFI ASSURANCES;03/02/2015;
DGEN01;GENERATION;22/12/2014;
DGENA1;GENASSUR;01/01/2022;
DGER01;GEREP - GROUPE EUROPEEN RETRAITE PREVOYANCE;22/12/2014;
DGESC1;GESCOPIM;22/04/2016;
DGEST1;GESTINEO;25/03/2017;
DGMC01;HENNER;22/12/2014;
