code;libellé;25/09/2024
001;Non assujetti par choix du régime fiscal (option IR en catégorie BNC)
002;Collectivités publiques, Parlementaires
003;Etablissements publics de recherche et les établissements publics d'enseignement supérieurs
004;Personnes morales créées pour la gestion d'un pôle de recherche et d'enseignement supérieur ou d'un réseau thématique de recherche avancée
005;Fondations reconnues d'utilité public du secteur de la recherche
006;Sociétés et personnes morales ayant pour objet exclusif l'enseignement
007;Associations sans but lucratif
008;Syndicats professionnels
009;Entreprises sans établissement en France (ESEF)
010;Sociétés civiles de moyens (SCM) non commerciale
011;Personnes physiques ou morales assujetties aux BNC ou BA
012;Les coopératives agricoles
013;Les coopératives artisanales, transport (y compris fluvial et maritime) et leurs unions
014;Les groupements d'employeurs dont agricoles
015;Les sociétés civiles agricoles
016;Les mutuelles et organismes mutualistes
017;Les organismes HLM, SA de crédit immobilier (I et au II de l'article L. 422-4 du code de la construction et de l'habitation ) et unions d'économie sociale
018;Les sociétés coopératives de construction désignées à l'article L. 432-2 du code de la construction et de l'habitation.
019;Organismes chargés de l'organisation en France d'une compétition sportive internationale en France (Article L6131-1 du code du travail)
