code;libellé;date de début de validité;date de fin de validité;25/09/2024
0010;Directeur général (13.03.2000);13/03/2000;06/08/2005
0012;Directeur 1ère classe (13.03.2000);13/03/2000;06/08/2005
0021;Directeur 2ème classe (13.03.2000);13/03/2000;06/08/2005
0031;Directeur 3ème classe (13.03.2000);13/03/2000;06/08/2005
0048;Directeur 4ème classe (01.07.1998) (en extinction);01/07/1998;06/08/2005
0130;Pharmacien résident (cadre d'extinction);01/01/1900;
0200;Directeur d'établissement social et médico-social emploi fonctionnel (r 01/2008);01/01/2002;01/01/2008
0210;Médecin de médecine préventive;01/07/2007;
0211;Directeur d'établissement social et médico-social de hors classe (r 01/2008);01/01/2002;01/01/2008
0221;Directeur d'établissement social et médico-social de classe normale (r 01/2008);01/01/2002;01/01/2008
0260;Elève directeur d'établissement social et médico-social (r 01/2008);01/01/2002;01/01/2008
0300;Emploi fonctionnel / directeur général de CHR niveau 1;06/08/2005;11/05/2012
0310;Emploi fonctionnel / directeur général de CHR niveau 2;06/08/2005;11/05/2012
0315;Directeur général CHU (HEE);11/05/2012;
0320;Emploi fonctionnel / directeur général adjoint de CHR;06/08/2005;27/04/2012
0325;Directeur général CHU (HED);11/05/2012;
0330;Emploi fonctionnel / directeur d'établissement fonctionnel;06/08/2005;27/04/2012
0340;Directeur hors classe;06/08/2005;
0342;Directeur de classe normale;06/08/2005;
0344;Directeur de classe exceptionnelle;01/01/2015;
0360;Directeur d'hôpital de classe provisoire (en voie d'extinction);06/08/2005;
0365;Elève directeur;06/08/2005;
0420;Attaché d'administration hors classe;01/01/2018;
0421;Attaché principal d'administration hospitalière de 1ère classe;21/12/2001;08/08/2007
0422;Attaché principal d'administration hospitalière de 2ème classe;21/12/2001;08/08/2007
0423;Attaché principal d'administration hospitalière;08/08/2007;
0430;Attaché d'administration hospitalière;21/12/2001;
0530;Directeur d'établissement sanitaire et social emploi fonctionnel (r 01/2008);01/01/2002;01/01/2008
0540;Directeur d'établissement sanitaire et social de hors classe ((r 01/2008);01/01/2002;01/01/2008
0550;Directeur d'établissement sanitaire et social de classe normale ((r 01/2008);01/01/2002;01/01/2008
0560;Elève directeur d'établissement sanitaire et social (r 01/2008);01/01/2002;01/01/2008
0630;Emploi fonctionnel / directeur d'établissement sanitaire, social et médico-social;11/05/2012;
0640;Directeur d'établissement sanitaire, social et médico-social de hors classe;01/01/2008;
0650;Directeur d'établissement sanitaire, social et médico-social de classe normale (01/2008);01/01/2008;
0660;Elève directeur d'établissement sanitaire, social et médico-social (01/2008);01/01/2008;
0710;Emploi fonctionnel / groupe I;27/04/2012;
0720;Emploi fonctionnel / groupe II;27/04/2012;
0730;Emploi fonctionnel / groupe III;27/04/2012;
1001;Infirmier cadre supérieur de santé paramédical;29/12/2012;
1002;Infirmier de bloc opératoire cadre supérieur de santé paramédical;29/12/2012;
1003;Infirmier anesthésiste cadre supérieur de santé paramédical;29/12/2012;
1004;Puéricultrice cadre supérieur de santé paramédical;29/12/2012;
1011;Pédicure-podologue cadre supérieur de santé paramédical;29/12/2012;
1012;Masseur-kinésithérapeute cadre supérieur de santé paramédical;29/12/2012;
1013;Ergothérapeute cadre supérieur de santé paramédical;29/12/2012;
1014;Psychomotricien cadre supérieur de santé paramédical;29/12/2012;
1015;Orthophoniste cadre supérieur de santé paramédical;29/12/2012;
1016;Orthoptiste cadre supérieur de santé paramédical;29/12/2012;
1017;Diététicien cadre supérieur de santé paramédical;29/12/2012;
1021;Préparateur en pharmacie hospitalière cadre supérieur de santé paramédical;29/12/2012;
1022;Technicien de laboratoire médical cadre supérieur de santé paramédical;29/12/2012;
1023;Manipulateur d'électroradiologie médicale cadre supérieur de santé paramédical;29/12/2012;
1251;Adjoint des cadres hospitaliers de classe normale;01/01/1990;16/06/2011
1252;Adjoint des cadres hospitaliers de classe supérieure;01/01/1990;16/06/2011
1253;Adjoint des cadres hospitaliers de classe exceptionnelle;01/01/1990;16/06/2011
1261;Adjoint des cadres hospitaliers de classe exceptionnelle;16/06/2011;
1262;Adjoint des cadres hospitaliers de classe supérieure;16/06/2011;
1263;Adjoint des cadres hospitaliers de classe normale;16/06/2011;
1312;Adjoint administratif hospitalier de 1ère classe e5;01/11/2006;08/08/2007
1313;Adjoint administratif hospitalier principal e6;01/11/2006;08/08/2007
1314;Adjoint administratif;01/01/2017;
1315;Adjoint administratif hospitalier principal de 1ère classe;08/08/2007;01/01/2017
1316;Adjoint administratif hospitalier principal de 2ème classe;08/08/2007;01/01/2017
1317;Adjoint administratif principal de 2e classe;01/01/2017;
1326;Adjoint administratif hospitalier de 1ère classe;08/08/2007;01/01/2017
1327;Adjoint administratif principal de 1re classe;01/01/2017;
1332;Chef de standard téléphonique e5;01/11/2006;08/08/2007
1333;Chef de standard téléphonique principal e6;01/11/2006;08/08/2007
1353;Secrétaire médicale de classe exceptionnelle;01/01/1990;16/06/2011
1361;Assistant médico-administratif de classe exceptionnelle;16/06/2011;
1362;Assistant médico-administratif de classe supérieure;16/06/2011;
1363;Assistant médico-administratif de classe normale;16/06/2011;
1370;Aumônier;01/01/1900;01/01/2017
1412;Adjoint administratif hospitalier de 2ème classe e4;01/11/2006;08/08/2007
1423;Adjoint administratif hospitalier de 2ème classe;08/08/2007;01/01/2017
1437;Standardiste (r e2 + e3);27/02/2006;08/08/2007
1451;Secrétaire médicale de classe normale;01/01/1990;16/06/2011
1461;Secrétaire médicale de classe supérieure;01/01/1990;16/06/2011
1506;Agent administratif (r e2 + e3);27/02/2006;08/08/2007
1561;Permanencier auxiliaire de régulation médicale e4 (cadre d'extinction);01/11/2006;01/01/2017
1562;Permanencier auxiliaire de régulation médicale principal e5 (cadre d'extinction);01/11/2006;01/01/2017
1563;Permanencier auxiliaire de régulation médicale chef e6 (cadre d'extinction);01/11/2006;01/01/2017
1568;Permanencier auxiliaire de régulation médicale de 2ème classe (cadre d'extinction);01/01/2017;
1569;Permanencier auxiliaire de régulation médicale de 1re classe (cadre d'extinction);01/01/2017;
1611;Directeur des soins coordonnateur général de 1ère classe;01/01/2002;10/01/2014
1612;Directeur des soins services infirmiers de 1ère classe;01/01/2002;10/01/2014
1613;Directeur des soins activités de rééducation de 1ère classe;01/01/2002;10/01/2014
1614;Directeur des soins activités médico-techniques de 1ère classe;01/01/2002;10/01/2014
1615;Directeur des soins directeur d'institut de formation de cadre de 1ère classe;01/01/2002;10/01/2014
1616;Directeur des soins directeur d'institut de formation de 1ère classe;01/01/2002;10/01/2014
1621;Directeur des soins coordonnateur général de 2ème classe;01/01/2002;10/01/2014
1622;Directeur des soins services infirmiers de 2ème classe;01/01/2002;10/01/2014
1623;Directeur des soins activités de rééducation de 2ème classe;01/01/2002;10/01/2014
1624;Directeur des soins activités médico-techniques de 2ème classe;01/01/2002;10/01/2014
1625;Directeur des soins directeur d'institut de formation de cadre de 2ème classe;01/01/2002;10/01/2014
1626;Directeur des soins directeur d'institut de formation de 2ème classe;01/01/2002;10/01/2014
1627;Emploi fonctionnel / directeur des soins, coordonnateur gén. act. soins infirmiers, rééducation, médico-techniques Gpe II;10/01/2014;
1628;Emploi fonctionnel / directeur des soins coordonnateur gén. act. formation dans un ou plusieurs groupes d'instituts de formation Gpe II;10/01/2014;
1629;Emploi fonctionnel / directeur des soins, coordonnateur gén. act. soins infirmiers, rééducation, médico-techniques Gpe I;10/01/2014;
1630;Directeur des soins classe normale, coordination gén. act. soins infirmiers, rééducation, médico-techniques;10/01/2014;
1631;Directeur des soins classe normale, direction d'un institut de formation ou coordination gén. de plusieurs instituts de formation;10/01/2014;
1632;Directeur des soins hors classe, coordination générale act. soins infirmiers, rééducation, médico-techniques;10/01/2014;
1633;Directeur des soins hors classe, direction d'un institut de formation ou coordination gén. de plusieurs instituts de formation;10/01/2014;
1634;Directeur des soins de classe exceptionnelle, coordination générale des activités de soins infirmiers, de rééducation et médico-techniques;01/04/2022;
1635;Directeur des soins de classe exceptionnelle, direction d'un institut de formation ou coordination générale de plusieurs instituts de formations;01/04/2022;
1801;Infirmier cadre de santé paramédical;29/12/2012;
1802;Infirmier de bloc opératoire cadre de santé paramédical;29/12/2012;
1803;Infirmier anesthésiste cadre de santé paramédical;29/12/2012;
1804;Puéricultrice cadre de santé paramédical;29/12/2012;
1811;Pédicure-podologue cadre de santé paramédical;29/12/2012;
1812;Masseur-kinésithérapeute cadre de santé paramédical;29/12/2012;
1813;Ergothérapeute cadre de santé paramédical;29/12/2012;
1814;Psychomotricien cadre de santé paramédical;29/12/2012;
1815;Orthophoniste cadre de santé paramédical;29/12/2012;
1816;Orthoptiste cadre de santé paramédical;29/12/2012;
1817;Diététicien cadre de santé paramédical;29/12/2012;
1821;Préparateur en pharmacie hospitalière cadre de santé paramédical;29/12/2012;
