code;libellé;25/09/2024
BAD1;Administrateur
BAD2;Administrateur hors classe
BAD3;Administrateur général
BAJ1;Adjoint administratif
BAJ2;Non-TIT. / Adjoint administratif de 1ère classe
BAJ3;Adjoint administratif principal de 2ème classe
BAJ4;Adjoint administratif principal de 1ère classe
BAR1;Rédacteur
BAR2;Rédacteur principal de 2ème classe
BAR3;Rédacteur principal de 1ère classe
BAS1;Secrétaire de mairie
BAT1;Attaché
BAT2;Attaché principal
BAT3;Directeur territorial
BAT4;Attaché hors classe
BAU1;Directeur général adjoint des services ou directeur adjoint
BAU2;Directeur général des services ou directeur
BAW1;Non titulaire en CDI, catégorie C
BAW2;Non titulaire en CDI, catégorie B
BAW3;Non titulaire en CDI, catégorie A
BAW4;Non titulaire en CDI, catégorie A+
BAX1;Agent non titulaire sans référence à un cadre d 'emplois, cat C
BAX2;Agent non titulaire sans référence à un cadre d 'emplois, cat B
BAX3;Agent non titulaire sans référence à un cadre d 'emplois, cat A
BAX4;Agent non titulaire sans référence à un cadre d 'emplois, cat A+
BCA1;Attaché de conservation du patrimoine
BCA2;Attaché principal de conservation du patrimoine
BCB1;Bibliothécaire
BCB2;Bibliothécaire principal
BCD1;Directeur d'établissement d'enseignement artistique de 2ème catégorie
BCD2;Directeur d'établissement d'enseignement artistique de 1ère catégorie
BCG1;Assistant de conservation
BCG2;Assistant de conservation principal de 2ème classe
BCG3;Assistant de conservation principal de 1ère classe
BCH1;Conservateur
BCH2;Conservateur en chef
BCJ1;Adjoint territorial du patrimoine
BCJ2;Non-TIT. / Adjoint territorial du patrimoine de 1ère classe
BCJ3;Adjoint territorial du patrimoine principal de 2ème classe
BCJ4;Adjoint territorial du patrimoine principal de 1ère classe
BCM2;Conservateur
BCM3;Conservateur en chef
BCP1;Professeur d'enseignement artistique de classe normale
BCP2;Professeur d'enseignement artistique hors classe
BCS1;Assistant d'enseignement artistique
BCS2;Assistant d'enseignement artistique principal de 2ème classe
BCS3;Assistant d'enseignement artistique principal de 1ère classe
BCW1;Non titulaire en CDI, catégorie C
BCW2;Non titulaire en CDI, catégorie B
BCW3;Non titulaire en CDI, catégorie A
BCW4;Non titulaire en CDI, catégorie A+
BCX1;Agent non titulaire sans référence à un cadre d 'emplois, cat C
BCX2;Agent non titulaire sans référence à un cadre d 'emplois, cat B
BCX3;Agent non titulaire sans référence à un cadre d 'emplois, cat A
BCX4;Agent non titulaire sans référence à un cadre d 'emplois, cat A+
BEB1;Biologiste, vétérinaire et pharmacien de classe normale
BEB2;Biologiste, vétérinaire et pharmacien hors classe
BEB3;Biologiste, vétérinaire et pharmacien de classe exceptionnelle
BEM1;Masseur-kinésithérapeute et orthophoniste
BEM2;Non-TIT. / Masseur-kinésithérapeute, psychomotricien et orthophoniste de classe supérieure
BEM3;Masseur-kinésithérapeute et orthophoniste hors classe
BEP1;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens
BEP2;Non-TIT. / Pédicure-podologue, ergothérapeute, orthophoniste et manipulateur d'électroradiologie médicale de classe supérieure
BEP3;Pédicures-podologues, ergothérapeutes, psychomotriciens, orthoptistes, technicien de laboratoire médical, manipulateurs d'électroradiologie médicale, préparateurs en pharmacie hospitalière et diététiciens hors classe
BET1;Technicien paramédical de classe normale
BET2;Technicien paramédical de classe supérieure
BEW1;Non titulaire en CDI, catégorie C
BEW2;Non titulaire en CDI, catégorie B
BEW3;Non titulaire en CDI, catégorie A
BEW4;Non titulaire en CDI, catégorie A+
BEX1;Agent non titulaire sans référence à un cadre d 'emplois, cat C
BEX2;Agent non titulaire sans référence à un cadre d 'emplois, cat B
BEX3;Agent non titulaire sans référence à un cadre d 'emplois, cat A
BEX4;Agent non titulaire sans référence à un cadre d 'emplois, cat A+
BHC1;Collaborateur de cabinet
BHM1;Assistante maternelle
BHW1;Fonctionnaires ou non titulaires non classables dans une filière
BMA1;Non-TIT. / Educateur de jeunes enfants
BMA2;Non-TIT. / Educateur principal de jeunes enfants
BMB1;Moniteur-Educateur et intervenant familial
BMB2;Moniteur-Educateur et intervenant familial principal
BMD1;Non-TIT. / Agent spécialisé de 1ère classe des écoles maternelles
