code;libellé;date de début de validité;date de fin de validité;23/01/2025
C20100947;MCM Corse;01/01/1900;
E61C62CJT;MUTUELLE SERAMM;01/01/1900;
ENTISGEST;ENTIS GESTION;01/01/1900;
IM2023200;Identités Mutuelle;01/01/2024;
IND000001;Mutuelle des Pays de Vilaine;01/01/1900;
IND000002;ASPBTP;01/01/1900;
M13011200;Mutuelle du Pays Martégal;01/01/1900;
M24593979;UFR-Unité Fraternelle des Régions;01/01/1900;
M40128530;Mutualia Grand Ouest;01/01/1900;
M40359626;Mutualia Alliance Santé;01/01/1900;
M44957125;Mutualia Territoires Solidaires;01/01/1900;
M78371199;M comme Mutuelle;01/01/1900;
MFI3636CB;Mutuelle Familiale de l'Indre;01/01/1900;
MPV841997;MUTUELLE DES PAYS DE VAUCLUSE;01/01/1900;
MUT130MHR;Mutuelle des Assurés Sociaux;01/01/1900;
MUT310PRE;PREVIFRANCE;01/01/1900;
MUT310REM;REMPART;01/01/1900;
MUT370RAL;LE RALLIEMENT;01/01/1900;
MUT410ALE;MUTUALE;01/01/1900;
MUT441LML;LES MUTUELLES LIGERIENNES;01/01/1900;
MUT540NOV;NOVAMUT;01/01/1900;
MUT590GSM;GSMC;01/01/1900;
MUT590JUS;JUST;01/01/1900;
MUT690MIL;MILTIS;01/01/1900;
MUT700MMC;MUTUELLE MEDICO-CHIRURGICALE;01/01/1900;
MUT730SMI;SMIP;01/01/1900;
MUT750AMP;AMPLI;01/01/1900;
MUT750ARG;ARGENSON;01/01/1900;
MUT750CNM;CNM PREVOYANCE SANTE;01/01/1900;
MUT750MFI;MFIF;01/01/1900;
MUT830EMO;EMOA;01/01/1900;
MUT880MVH;MUTUELLE VICTOR HUGO;01/01/1900;
MUT954PMI;PMIF;01/01/1900;
MUT974UMS;UMS;01/01/1900;
MUTASANTE;MUTA SANTE;01/01/1900;
MUTCMIP60;Mutuelle CMIP (Centre Mutualiste InterProfessionnel);01/01/2020;
MUTMEDI83;Mutuelle de la Méditerranée;01/01/1900;
MUTSANT08;Mutuelle Santé 08;01/01/1900;
MUTSEPR84;SOCIETE MUTUALISTE SEPR;01/01/1900;
MUTUMGA84;MUTUELLE GENERALE D'AVIGNON;01/01/1900;
REFUGEM12;LE REFUGE MUTUALISTE AVEYRONNAIS;01/01/1900;
S13011549;Sereina Mutuelle;01/01/1900;
UNIMUT379;Unimutuelles;01/01/1900;
UDTMUT131;Mutuelle UDT;01/01/1900;
