code;libellé;trigramme;date de début de validité;date de fin de validité;25/09/2024
DMSA11;MSA Grand Sud;MSA;01/01/1900;
DMSA12;MSA Midi-Pyrénées Nord;MSA;01/01/1900;
DMSA13;MSA Provence-Azur;MSA;01/01/1900;
DMSA14;MSA Côtes Normandes;MSA;01/01/1900;
DMSA17;MSA Charentes;MSA;01/01/1900;
DMSA20;MSA de la Corse;MSA;01/01/1900;
DMSA21;MSA Bourgogne;MSA;01/01/1900;
DMSA22;MSA Armorique;MSA;01/01/1900;
DMSA24;MSA Dordogne;MSA;01/01/1900;
DMSA25;MSA Franche-Comté;MSA;01/01/1900;
DMSA26;MSA Ardèche Drôme Loire;MSA;01/01/1900;
DMSA27;MSA Haute-Normandie;MSA;01/01/1900;
DMSA28;MSA Beauce Coeur de Loire;MSA;01/01/1900;
DMSA32;MSA Midi-Pyrénées Sud;MSA;01/01/1900;
DMSA33;MSA Gironde;MSA;01/01/1900;
DMSA35;MSA Portes de Bretagne;MSA;01/01/1900;
DMSA41;MSA Berry-Touraine;MSA;01/01/1900;
DMSA48;MSA Languedoc;MSA;01/01/1900;
DMSA49;MSA Maine-et-Loire;MSA;01/01/1900;
DMSA51;MSA Marne-Ardennes-Meuse;MSA;01/01/1900;
DMSA52;MSA Sud Champagne;MSA;01/01/1900;
DMSA54;MSA Lorraine;MSA;01/01/1900;
DMSA59;MSA Nord - Pas-de-Calais;MSA;01/01/1900;
DMSA63;MSA Auvergne;MSA;01/01/1900;
DMSA64;MSA Sud Aquitaine;MSA;01/01/1900;
DMSA68;MSA Alsace;MSA;01/01/1900;
DMSA69;MSA Ain-Rhône;MSA;01/01/1900;
DMSA72;MSA Mayenne-Orne-Sarthe;MSA;01/01/1900;
DMSA73;MSA Alpes du Nord;MSA;01/01/1900;
DMSA75;MSA Ile-de-France;MSA;01/01/1900;
DMSA77;CPS St Barthélémy;MSA;01/01/1900;
DMSA80;MSA Picardie;MSA;01/01/1900;
DMSA84;MSA Alpes Vaucluse;MSA;01/01/1900;
DMSA85;MSA Loire-Atlantique Vendée;MSA;01/01/1900;
DMSA86;MSA Sèvres-Vienne;MSA;01/01/1900;
DMSA87;MSA Limousin;MSA;01/01/1900;
88;AGIRC ARRCO;AAR;01/01/1900;
91;CNIEG;CNI;01/01/1900;
92;CAMIEG;CAM;01/01/1900;
93;POLE EMPLOI;PEM;01/01/1900;
94;CRPCEN;CRC;01/01/1900;
96;CRPNPAC;CRN;01/01/1900;
97;Caisse de congés spectacles;AUD;01/01/1900;
98;CNBF;CNB;01/01/2019;
99;RAEP;RAE;01/01/2021;
01;BTP - Caisse Nationale des Entrepreneurs de TP;UCF;01/01/1900;
02;BTP - CIBTP Caisse de l'Ile-de-France;UCF;01/01/1900;
04;BTP - CIBTP Caisse du Nord-Ouest;UCF;01/01/1900;
07;BTP - CIBTP Caisse du Grand Est;UCF;01/01/1900;
12;BTP - CIBTP Caisse de Rhône-Alpes Auvergne;UCF;01/01/1900;
15;BTP - CIBTP Caisse de la Région Méditerranée;UCF;01/01/1900;
18;BTP - CIBTP Caisse de la Région du Centre;UCF;01/01/1900;
20;BTP - CIBTP Caisse du Sud-Ouest;UCF;01/01/1900;
22;BTP - CIBTP Caisse du Grand Ouest (Antenne Nantes);UCF;01/01/1900;
23;BTP - CIBTP Caisse du Centre Ouest;UCF;01/01/1900;
24;BTP - CIBTP Caisse du Grand Ouest (Antenne Rennes);UCF;01/01/1900;
27;BTP - Caisse Nationale des Coopératives;UCF;01/01/1900;
34;BTP - Congés BTP Caisse de la Réunion;UCF;01/01/1900;
35;BTP - Congés BTP Caisse des Antilles et de la Guyane françaises (Martinique);UCF;01/01/1900;
