code;libellé;date de début de validité;date de fin de validité;25/09/2024
P0002;AGRI PREVOYANCE;01/01/2000;
P0223;CPCEA;01/01/2000;
P0395;MALAKOFF MEDERIC PREVOYANCE (ex CAPREVAL);01/01/2000;
P0675;IPSEC;01/01/2000;
P0826;KERIALIS (ex-CREPA);01/01/2000;
P0832;CARCO;01/01/2000;
P0914;BTP PREVOYANCE;01/01/2000;
P0921;CIPREV;01/01/2000;
P0930;APGIS;01/01/2000;
P0942;AG2R PREVOYANCE;01/01/2000;
P0945;ARPEGE PREVOYANCE;01/01/2000;
P0947;UNIPREVOYANCE;01/01/2000;
P0954;IPRIAC;01/01/2000;
P0958;IRP AUTO Prévoyance-Santé;01/01/2000;
P0959;KLESIA PREVOYANCE (ex-IPGM);01/01/2000;
P0971;CARCEPT PREVOYANCE;01/01/2000;
P0972;INPR;01/01/2000;
P0978;CARPILIG PREVOYANCE;01/01/2000;
P0979;IPECA PREVOYANCE;01/01/2000;
P0983;AUDIENS PREVOYANCE;01/01/2000;
P0990;CRP-BTP;01/01/2000;
P0997;IPBP;01/01/2021;
P1003;IRCEM PREVOYANCE;01/01/2000;
P1016;KLESIA PREVOYANCE (ex-OREPA-Prévoyance);01/01/2000;
P1020;CAISSE REUNIONNAISE DE PREVOYANCE (CRP);01/01/2000;
P1022;CAPSSA;01/01/2000;
P1030;HUMANIS PREVOYANCE (fusionnant APRI/IONIS/NOVALIS/TAITBOUT/CAPAVES prévoyance);01/01/2000;
P1031;APICIL PREVOYANCE;01/01/2000;
P1033;CGPCE;01/01/2000;
P1035;CCPMA PREVOYANCE;01/01/2000;
P1330;A2VIP (ex B2V Prévoyance);01/01/2000;
P2001;MIEL GROUPE MALAKOFF HUMANIS;01/01/2020;
P2002;SMATIS Mutuelle;01/01/2021;
P2003;MCCI;01/01/2021;
P2005;MUTUELLE BOISSIERE;01/10/2022;
P3001;RSBP;01/01/2021;
P3008;CPCEA RETRAITE SUPPLEMENTAIRE;01/01/2023;
P3009;CCPMA RETRAITE SUPPLEMENTAIRE;01/01/2023;
P3010;PRODIGEO;01/10/2022;
