Code;Libellé;Libellé court;Format;Taux plafonné;Taux déplafonné;Taux AT;Date d'effet;Date de fin;Spécificité
'631';CPRPF CPA NON CADRES SUP;CPRPF CPA NON CS;E;;48.27;;2025-01-01;;
'632';CPRPF TEMPS PARTIEL CADRES SUP;CPRPF TPS PART CS;E;;47.67;;2023-01-01;2024-01-01;
'633';CPRPF TEMPS PARTIEL NON CADRES SUP;CPR TPS PART NON CS;E;;48.27;;2025-01-01;;
'633';CPRPF TEMPS PARTIEL NON CADRES SUP;CPR TPS PART NON CS;E;;47.67;;2023-01-01;2024-01-01;
'642';CPRPF RETRAITE NON CADRES SUP;CPRPF RETR NON CS;E;;48.0;;2024-01-01;2025-01-01;
'642';CPRPF RETRAITE NON CADRES SUP;CPRPF RETR NON CS;E;;47.67;;2023-01-01;2024-01-01;
'643';CPRPF RETRAITE CADRES SUP;CPRPF RETRAITE CS;E;;48.0;;2024-01-01;2025-01-01;
'689';REDUCTION MALADIE;REDUCTION MALADIE;F;100.0;;;2019-01-01;;
'776';DOM PECHE MARITIME EXO CSG-CRDS OM;DOM PECH EX CSG-CRDS;F;;100.0;;2017-01-01;;
'582';CPRPF APPRENTI SUP 79 RET;CPR APP SUP 79 RET;E;;37.53;;2023-01-01;2023-12-31;
'630';CPRPF CPA CADRES SUP;CPRPF CPA CS;E;;48.27;;2025-01-01;;
'630';CPRPF CPA CADRES SUP;CPRPF CPA CS;E;;48.0;;2024-01-01;2025-01-01;
'631';CPRPF CPA NON CADRES SUP;CPRPF CPA NON CS;E;;47.67;;2023-01-01;2024-01-01;
'632';CPRPF TEMPS PARTIEL CADRES SUP;CPRPF TPS PART CS;E;;48.0;;2024-01-01;2025-01-01;
'643';CPRPF RETRAITE CADRES SUP;CPRPF RETRAITE CS;E;;48.27;;2025-01-01;;
'643';CPRPF RETRAITE CADRES SUP;CPRPF RETRAITE CS;E;;47.67;;2023-01-01;2024-01-01;
'024';ARBITRES AMATEURS PART EXONEREE;ARBITRES EXO;E;0.0;0.0;;2023-01-01;;
'024';ARBITRES AMATEURS PART EXONEREE;ARBITRES EXO;E;0.0;0.0;;2020-01-01;2022-01-01;
'025';RR RETRAITE BASE TAUX PLEIN;RR RET.B TX PN;E;;8.8;;2021-01-01;;
'042';RR PRERETRAITE AV 11/10/2007 TX RDT;RR PRERET.2007 TR;E;;4.3;;2021-01-01;;
'043';RR PRERETRAITE TAUX PLEIN;RR PRERET. TX PL;E;;9.7;;2021-01-01;;
